"idJeu","libelleJeu","auteurJeu","nbMinJoueurJeu","nbMaxJoueurJeu","noticeJeu","idEditeur","idTypeJeu","agemini","prototype","duree","theme","description","imageJeu","videoRegle"
"1131","Now!","Silvano Sorrentino","3","8","https://www.scorpionmasque.com/sites/scorpionmasque.com/files/now-regles_fr.pdf","129","1","8","0","15","Chiffres","Défaussez vos cartes le plus vite possible à la recherche de la valeur parfaite. Attention, votre paquet de cartes est limité et se vide plus vite que vous ne le croyez !","https://www.scorpionmasque.com/sites/scorpionmasque.com/files/styles/portfolio/public/now_packshot_3d_fr.png?itok=VOuQZbiu","https://www.youtube.com/watch?v=_zgieTU0m7U"
"1132","Alzuhra","Adeline Angibaud, Paul Verniolle","3","5",,"329","1","8","0","30","Contes des Mille et Une 1nuits","Alzuhra est un conte interactif tout public qui dédramatise la narration en fournissant des outils simples pour se raconter une histoire dont tous sont les héros. Le temps d’une nuit, l’un d’entre vous incarnera Shéhérazade. Aidée de son chevalet à histoires, elle posera des questions aux autres joueurs qui interprèteront les héros de son conte. Ils vont devoir résoudre avec astuce et malice les péripéties de Shéhérazade afin de pouvoir écrire ensemble une histoire qui plaira au Sultan.","https://www.ludo-lamarelle.fr/wp-content/uploads/2023/09/Alzuhra2-300x300.jpg",
"1133","Traitres à Bord","Jean-Xia Chou","3","8","https://cdn.shopify.com/s/files/1/0623/8424/2928/files/traitres_a_bord_-_regles_fr.pdf?v=1698756301","331","2","10","0","20","Pirates","Traitres à Bord ! offre une expérience de jeu novatrice en alliant stratégie, bluff et interactions sociales. Laissez vous séduire par un univers immersif, plein de suspens et de revirements de situation vous garantissant une belle re jouabilité !","https://cdn1.philibertnet.com/618761-large_default/traitres-a-bord.jpg","https://www.youtube.com/watch?v=Lw1zoBKH2po"
"1134","Quickshot","Seiji Kanai","2","7","https://www.dropbox.com/scl/fo/x0xoe6afa2schubgja5h9/h?dl=0&e=1&preview=QS_Rules_FR_rvb.pdf&rlkey=vutrqzp6wf9eyqim2exr2wnt5","109","1","7","0","10","Abstrait","Vous bouillez d’impatience : c’est votre premier battle royale ! Tout le monde s’apprête à en découdre… et dès que les hostilités seront lancées, il faudra adopter la meilleure stratégie pour l’emporter !","https://bankiiiz.com/wordpress/wp-content/uploads/2023/09/QuickShot_Boite_eclate-722x1024.png","https://www.youtube.com/watch?v=V3QJiu7G7iw&t=5s"
"1135","Evil Corp.","Jérémy Ducret","2","4","https://www.laboitedejeu.fr/wp-content/uploads/2023/08/EVI-FR-STD-rules-extralight.pdf","149","6","12","0","45","Fantaisie, Fantastique","Un jeu stratégique de bag-building pour 2 à 4 joueurs. Jouez seul contre vos adversaires ou en équipe de 2.","https://cdn2.philibertnet.com/588827-large_default/evil-corp.jpg","https://www.youtube.com/watch?v=8nn1Dh5KTaA&t=19s"
"1136","Crack List","Pierre Faucon","2","8","https://cdn.1j1ju.com/medias/c7/ff/e1-crack-list-regle.pdf","333","2","10","0","30","Bac","Ça fait combien de temps que vous n’avez pas joué au Petit Bac? Crack List revisite le jeu le plus populaire de notre enfance dans un nouveau jeu de cartes convivial, original et plein de rebondissements.","https://cdn2.philibertnet.com/554144-large_default/crack-list.jpg","https://www.youtube.com/watch?v=uFxE9zE41hk&t=1s"
"1137","ArcheOlogic","Yoann Levet","1","4","https://www.play-in.com/pdf/rules_games/archeologic_-_regles_fr.pdf","111","1","12","0","45","Science Fiction","Une Cité dans la montagne a été découverte mais nul n’ose s’y aventurer sans avoir cartographié les lieux… Voilà enfin une mission pour vous, Archéologue à la logique implacable.","https://cdn2.philibertnet.com/585176-large_default/archeologic.jpg","https://www.youtube.com/watch?v=t_CBoOAwbG4&t=3s"
"1138","Boreal","Masafumi Mizuno","2","2","https://blackrockgames.fr/game/SPI004HO","269","1","10","0","30","Exploration, Locomotion et voyage, Nature","Boreal est un jeu de cartes et de stratégie pour 2 joueurs. Dans ce jeu de société, la Nature a repris possession de ce que l’humanité lui avait dérobé. Deux jeunes exploratrices partent à l’aventure. Vous construirez une pyramide de cartes représentant les lieux que vous allez explorer tout au long de la partie.","https://cdn2.philibertnet.com/611067-large_default/boreal.jpg","https://www.youtube.com/watch?v=UW6C5gh_prc"
"1139","Mojo","Antoni Guillen","3","8","https://www.didacto.com/regles?controller=attachment&id_attachment=3530","132","2","8","0","30","Abstrait","Pour remporter la victoire, il vous faudra avoir le moins de points possible en fin de partie. Pour cela, jetez vos grosses cartes OU préférez jouer les petites.","https://cdn3.philibertnet.com/588484-large_default/mojo.jpg","https://www.youtube.com/watch?v=QCfVQtM-ofE"
"1140","Solstis","Corentin Lebrat, Bruno Cathala","2","2","https://www.philibertnet.com/fr/index.php?controller=attachment&id_attachment=6470","151","1","8","0","15","Nature","Solstis est un jeu de tuiles et de collection pour 2 joueurs. Dans ce jeu de société, parcourez la montagne et assemblez le plus grand nombre de tuiles Paysage possible. Vous devrez rencontrer les esprits de la forêt et allumer des feux sur les sommets des montagnes pour remporter la victoire.","https://cdn1.philibertnet.com/610921-large_default/solstis.jpg","https://www.youtube.com/watch?v=virLhvEvsrU"
